from,to,wind_hours,point_distance_km,cell_distance_km
1,1,0,0,0
2,1,1.0681632825322145,1.3116855357214177,1.319061731338657
3,1,25.539445665871533,27.96236267881315,27.96360673765183
4,1,26.352460138547546,28.629396317572724,28.626359731318747
5,1,494.1999966760552,1080.5495035208003,1080.3916589926077
6,1,1017.0033666653864,2140.6024534269404,2143.5289260499803
7,1,1017.0033666653864,2139.4540185061833,2143.5289260499803
8,1,1147.262228902497,2711.9900117453453,2715.4134029687107
9,1,2300.781237481445,3357.404191875052,3357.361174890433
10,1,302.89598584172296,602.6412852177625,603.0812372513484
11,1,322.2837836883202,631.656150878436,632.6064118676603
12,1,321.5581377588585,638.0744406834184,634.4856598199963
13,1,272.6992574710474,591.303693372252,589.3743862638576
14,1,272.25198333792,581.5751734920509,578.8728814758301
15,1,284.62438438595666,550.9712400543092,549.989730890326
16,1,280.0862168176589,548.0274452496585,543.6967849618227
17,1,2056.0735342989165,3280.711791350203,3279.6961482883285
18,1,1034.887797000784,2120.566941720301,2122.7083380479567
19,1,874.4200950682076,1875.582500413523,1870.028185084461
20,1,879.6148002615159,1878.510989231782,1876.8742107857388
21,1,898.2910785327548,1873.5454603440735,1871.1674672254653
22,1,897.0982492731897,1868.2080257855125,1863.5355193348537
23,1,908.9428082221874,1859.5895141413225,1854.4258444338443
24,1,908.9428082221874,1859.3873785077828,1854.4258444338443
25,1,1225.7346090046403,2729.7010480110234,2728.836096376502
26,1,1185.0491209306128,1767.338048392389,1761.0584674938548
27,1,1185.0491209306128,1765.3771035305367,1761.0584674938548
28,1,1189.793792478291,1768.4904140731105,1763.0320745368565
29,1,1197.5823863073404,1778.4242092579345,1775.4377024263704
30,1,1232.1352063920456,1835.1730122036568,1833.8721666061033
31,1,1203.7716900294806,1836.2653578833385,1834.9193730737568
32,1,1221.0845517697678,1837.8734020283396,1836.7323914369026
33,1,1110.477477879187,1713.7421882496428,1711.2937857093932
34,1,2199.264509220852,3371.6370465880136,3371.62926805146
35,1,2240.5619349935587,3399.0570070835906,3400.1793277552606
36,1,842.5042907875601,1406.4849495897631,1402.4588977888786
37,1,1036.5252984580134,1994.2756979633766,1997.072710236109
38,1,1761.5815843942282,3267.655879192552,3261.5746407396537
39,1,1734.547361339284,4018.0404258332787,4016.1723942617555
40,1,1743.0488577174656,3822.618847937336,3817.036702897618
41,1,1729.6170957534193,3811.924004814253,3809.0483373692055
42,1,2078.8494615142326,3224.162290723159,3221.2591578273014
43,1,1803.4574090688193,5778.24176288767,5775.842379380902
44,1,2270.1329923714748,3402.1481676386616,3396.977836457932
45,1,983.2817824571227,2160.0875979725834,2163.128750826417
46,1,1800.1869546823332,3568.1553727896035,3566.755172624636
47,1,1386.2371119583242,2522.472639719196,2516.519372653596
48,1,1110.661267945351,2215.5697531296328,2209.23842885556
49,1,1114.1872959260952,2223.497910128256,2218.0038503362066
50,1,1803.3712248143897,5760.310893345559,5759.057376551038
51,1,1736.7504905123315,3314.060304264531,3311.842374567152
52,1,1401.1878112996003,2080.5377962338302,2077.715850840769
53,1,1401.8686730253328,2084.316915562506,2081.6819220287816
54,1,1415.0105997168198,2100.809910909418,2101.379386181989
55,1,1415.0105997168198,2103.669413314057,2101.379386181989
56,1,1455.0484390954732,2236.4839034957226,2236.234067515381
57,1,1452.972507604848,2237.4618200485293,2232.250707073294
58,1,2082.1574379958465,3258.7206295366295,3255.0181750493034
59,1,1114.2246963564692,1653.1208183648805,1652.70383979857
60,1,1089.4175648643507,1687.4056585900137,1686.9206586359355
61,1,1139.7624397831044,1860.778693757287,1856.7901064834473
62,1,1628.6738955823212,3011.311011836246,3008.143380748209
63,1,1633.0097539494768,3012.2912546730395,3011.3916860956674
64,1,739.6704878666295,1175.9283465534272,1176.1005769705248
65,1,740.5850473026725,1047.554471343946,1043.8194150954128
66,1,738.0932067380536,1043.2718456054706,1037.1605203157771
67,1,793.3961658712263,1117.3363212962774,1115.4030723245667
68,1,793.7662869606589,1125.0335312292282,1123.5680302579792
69,1,2083.1003401601156,3465.295289892728,3461.7527253855715
70,1,2085.155282417522,3460.0590786291273,3457.9694528186174
71,1,1185.0491209306128,1765.1142920574484,1761.0584674938548
72,1,781.8296642495203,1335.8122705518037,1329.9368555283163
73,1,1171.4960257129296,2468.9565706327385,2463.015880010535
74,1,1555.6307717214006,2421.8806869904333,2419.5441532209434
75,1,1553.8964058372894,2415.6375095427893,2411.6980732844318
76,1,1539.4055680941262,2375.8790005769265,2372.8875195214705
77,1,1552.1162819849235,2382.4356318149958,2377.4703446004146
78,1,957.0960969943297,1602.080598714037,1599.2644927832694
79,1,684.3612859624918,1370.3230694800964,1366.93748963228
80,1,684.3612859624918,1369.9469245941118,1366.93748963228
81,1,659.7353500208976,1299.0700232853362,1298.3226979835863
82,1,657.869675176139,1294.5399245960741,1291.6828862565578
83,1,2001.1225845420531,3157.289512334297,3156.6832605964423
84,1,1753.32172466906,3840.0525491304165,3836.4747670054767
85,1,764.6913588871619,1900.8478481179275,1896.1424333332525
86,1,764.6913588871619,1898.703060707067,1896.1424333332525
87,1,766.8962631981377,1901.6233978602236,1902.8441133977922
88,1,1163.3505704574507,1748.6514044028413,1743.733171177294
89,1,2067.1226695295577,3286.1208269960257,3286.3280085924084
90,1,2116.4159281411626,3386.378791665665,3384.135740768872
91,1,967.116796376667,1953.2410304568673,1949.7700593741931
92,1,990.9243323390473,1956.1013718607244,1950.6289635698324
93,1,1513.6079132707819,2534.8362959812375,2531.8025943785633
94,1,1369.0099226433053,2059.34418827082,2056.8479575527244
95,1,1093.3039734356594,1811.5315716422529,1806.433791453813
96,1,1778.6637821025652,3250.5529174371354,3246.7228056083804
97,1,1143.012565851672,2343.9908147752567,2348.6705505039267
98,1,1379.5236562017385,2094.670699579954,2092.7393527769973
99,1,1313.6408608164572,3075.8997772917282,3068.928231868685
100,1,1446.485099642547,3153.9273430204926,3152.9078735675507
101,1,1448.5880331916987,3161.387751152097,3159.076621437905
102,1,1411.7935944905025,3098.4071096603984,3096.9142179565943
103,1,1148.6453743650259,2295.226745464063,2291.0244821981496
104,1,1380.8415086209184,2047.3989782739486,2042.8582080435622
105,1,2093.2203342337116,3271.130294847969,3268.9275000223242
106,1,2082.1574379958465,3257.231071975414,3255.0181750493034
107,1,838.2184480516299,1401.7308941299984,1399.9118115092213
108,1,496.8781919272006,1062.2005012780019,1064.2240832494888
109,1,1055.2685467870704,1642.85668256615,1640.3577205191361
110,1,1026.1903781429862,1608.312146612816,1604.2833423329862
111,1,1063.0937405648733,1650.73450021377,1643.488691778385
112,1,1069.2942033818938,1658.654940846494,1651.9412016853978
113,1,797.9009103184004,1115.3410896841283,1114.9146501351897
1,2,1.7000333311533748,1.3116855357214177,1.319061731338657
2,2,0,0,0
3,2,25.76555388896051,27.794198897155155,27.811993821212276
4,2,26.242354886750146,28.437455568212926,28.41293665147321
5,2,493.30703382412497,1079.3263534080022,1078.4030698925392
6,2,1016.3245387889241,2140.485218173027,2140.6865242751196
7,2,1016.3245387889241,2139.336531838478,2140.6865242751196
8,2,1146.369266050567,2712.186287219812,2713.3366782441117
9,2,2304.013963707879,3358.393556320805,3361.4169763419995
10,2,302.0030229897927,601.4211910443041,601.1166706650058
11,2,321.39082083639,630.4521108406316,630.7508008416124
12,2,320.66517490692826,636.867245446053,632.6064118676609
13,2,271.8062946191172,590.0495856695834,587.1292819839884
14,2,271.3590204859898,580.323664556244,576.6529344555648
15,2,283.7314215340264,549.7646880660503,548.1171835617138
16,2,279.1932539657287,546.821225100836,541.8049997326918
17,2,2059.3062605253494,3281.460157932757,3283.6009047671446
18,2,1034.2089691243216,2120.4831574760183,2119.9368733800443
19,2,873.5271322162773,1874.555534682419,1869.1755357165712
20,2,878.7218374095856,1877.4852183280132,1876.0238663134057
21,2,897.3981156808245,1872.5361113431616,1870.3991585385963
22,2,896.2052864212594,1867.2004329801516,1862.7769242874579
23,2,908.0498453702571,1858.5886249664702,1853.7007813760374
24,2,908.0498453702571,1858.3863752401949,1853.7007813760374
25,2,1228.9673352310738,2729.6759692058563,2731.356702290372
26,2,1188.2639935728341,1767.1027407061943,1763.0320745368565
27,2,1188.2639935728341,1765.140234008093,1763.0320745368565
28,2,1193.0086651205122,1768.2557032982322,1765.0157583237292
29,2,1200.7972589495616,1778.2018893438533,1777.4461438981348
30,2,1235.3500790342669,1834.8912904212032,1835.7203602254654
31,2,1206.986562671702,1835.9741928232895,1836.7323914369033
32,2,1224.299424411989,1837.5828479125946,1838.5555913609874
33,2,1113.6923505214086,1713.580530253363,1713.4625091974005
34,2,2202.497235447286,3372.543326048205,3375.658009341031
35,2,2243.7946612199926,3399.9679115974345,3404.210148049939
36,2,845.737017013994,1406.981098771995,1406.0321108311584
37,2,1035.8464705815504,1994.1204982164752,1994.1408914230797
38,2,1764.8143106206617,3267.968021369128,3264.826193959294
39,2,1737.7800875657174,4018.44015822411,4019.5812615731224
40,2,1746.281583943899,3823.0310811241666,3820.4688991856938
41,2,1732.8498219798528,3812.3288232380464,3812.4660860439676
42,2,2082.082187740666,3224.684576869792,3224.8734503333258
43,2,1806.6901352952527,5778.812153381858,5779.52555955579
44,2,2273.365718597909,3403.0863013134617,3401.020482264967
45,2,982.6029545806605,2159.9038177756156,2160.1349982426236
46,2,1803.4196809087666,3568.537100697874,3570.135219045956
47,2,1389.4698381847577,2522.021664360366,2517.867834087799
48,2,1113.8939941717854,2215.7579835039433,2212.2419821872354
49,2,1117.4200221525293,2223.686528649938,2221.0082026168666
50,2,1806.6039510408232,5760.877562715586,5762.736246873168
51,2,1739.983216738765,3314.3434999793953,3315.0350975743704
52,2,1404.4205375260337,2081.326385607965,2081.6599401198623
53,2,1405.1013992517662,2085.108723897058,2085.631134691938
54,2,1418.2433259432532,2101.602584517738,2105.3270891415177
55,2,1418.2433259432532,2104.463034070446,2105.3270891415177
56,2,1458.2811653219067,2237.3202801775465,2240.218362776555
57,2,1456.2052338312815,2238.297026349338,2236.23406751538
58,2,2085.39016422228,3259.366180705614,3258.803587379113
59,2,1117.4574225829033,1653.7913290065055,1656.5226744343254
60,2,1092.6502910907845,1688.0337647300314,1690.6861753237795
61,2,1142.9773124253254,1860.2781872503717,1857.9817881883318
62,2,1631.9066218087546,3011.6214369570716,3011.3916860956674
63,2,1636.2424801759103,3012.604868553729,3014.643956444478
64,2,742.8020476729148,1175.4113199993183,1177.2347993007206
65,2,743.7166071089578,1047.1176026093242,1045.2000550471216
66,2,741.2247665443389,1042.8318340940484,1038.548398632573
67,2,796.5679490794485,1116.972589473179,1117.010402813915
68,2,796.9528039123795,1124.6732484223226,1125.183329789695
69,2,2086.333066386549,3465.9407153909124,3465.5378527328317
70,2,2088.3880086439553,3460.701101621718,3461.75272538557
71,2,1188.2639935728341,1764.8776121792341,1763.0320745368565
72,2,785.0623904759543,1336.1945517043428,1333.3190880144844
73,2,1174.7287519393635,2468.9190880355704,2465.505597254697
74,2,1558.863497947834,2422.7572653990774,2423.5552668183122
75,2,1557.1291320637229,2416.513916530904,2415.709991859522
76,2,1542.6382943205597,2376.766876162085,2376.905534015425
77,2,1555.349008211357,2383.3303648275382,2381.492922053115
78,2,960.227656800615,1601.425694920817,1599.9395259990422
79,2,684.8665163722487,1369.176940550192,1365.448619277593
80,2,684.8665163722487,1368.8010657490088,1365.448619277593
81,2,660.2405804306545,1297.9296086372947,1296.865735165871
82,2,658.3749055858958,1293.3974824552915,1290.2200327772407
83,2,2004.3553107684866,3157.7991775984465,3160.276525865406
84,2,1756.5544508954933,3840.470608552384,3839.9165193391273
85,2,763.7983960352316,1899.7172524511177,1894.7473647173513
86,2,763.7983960352316,1897.5720609233567,1894.7473647173513
87,2,766.0033003462074,1900.4933678566729,1901.4526320804623
88,2,1166.565443099672,1748.422813914132,1745.732727966261
89,2,2070.3553957559907,3286.8612284974674,3290.2247762178895
90,2,2119.648654367597,3387.1511509100214,3388.064104329555
91,2,966.2238335247367,1952.2269433633605,1948.9781784501881
92,2,990.031369487117,1955.1060587403488,1949.9305354579128
93,2,1516.8406394972153,2534.1985409011286,2532.536309166674
94,2,1372.2426488697388,2060.0585126289106,2060.714912937334
95,2,1096.5188460778807,1811.4548742323211,1808.8311846376098
96,2,1781.8965083289986,3250.8878327068055,3250.014671118833
97,2,1142.333737975209,2344.102401889338,2346.374590833475
98,2,1382.756382428172,2095.383272009512,2096.6071059747974
99,2,1316.8735870428907,3075.818671314143,3071.3077653309115
100,2,1449.7178258689805,3153.9885840453767,3155.6304085582674
101,2,1451.8207594181322,3161.447243591849,3161.7960329805687
102,2,1415.026320716936,3098.4599671205947,3099.618247730388
103,2,1151.87810059146,2295.4701459702237,2294.142263447488
104,2,1384.0742348473518,2048.148294188452,2046.7640761923903
105,2,2096.4530604601464,3271.773474460565,3272.7103732149885
106,2,2085.39016422228,3257.876463246353,3258.803587379113
107,2,841.451174278064,1402.218113770802,1403.469064131872
108,2,495.98522907527035,1060.987291064132,1062.3003629376299
109,2,1058.4834194292916,1642.6192206225505,1642.3251776820914
110,2,1029.4052507852075,1608.0771125740716,1606.2581441792656
111,2,1066.3086132070948,1650.545414310023,1645.58851227954
112,2,1072.5090760241153,1658.467034922176,1654.0453229672046
113,2,801.0586619119395,1114.9230315654734,1116.3646621478044
1,3,13.817442423325485,27.96236267881315,27.96360673765183
2,3,13.70020793889038,27.794198897155155,27.811993821212276
3,3,0,0,0
4,3,0.9747405618431986,0.8341697878325128,0.8464791007993824
5,3,484.2031010595405,1066.9005601068957,1068.4690147685294
6,3,1029.0242507291862,2167.762313513589,2166.969125163334
7,3,1029.0242507291862,2166.612610497692,2166.969125163334
8,3,1157.1674595638565,2739.952325456016,2739.5709895790283
9,3,2280.870540660631,3342.5197889552887,3344.6283887410077
10,3,292.04322164232184,589.0631799031603,591.2081267708462
11,3,311.43101948891905,617.2707674102913,620.073276121207
12,3,310.7053735594573,623.8324298255154,622.0882509332914
13,3,261.84649327164647,579.7141783661884,579.2647768565267
14,3,261.3992191385191,569.8237028241894,568.6082091870809
15,3,273.7716201865556,536.7741012750541,537.6158678919774
16,3,269.23345261825784,533.8175728853125,531.4406803063301
17,3,2036.1628374781021,3260.4735484439134,3262.2989344994626
18,3,1046.9086810645838,2147.8871548007796,2146.282492853222
19,3,865.8040530882822,1855.1740853884376,1852.3219848255349
20,3,870.9987582815904,1858.0743273005207,1859.1580832840323
21,3,889.6750365528294,1852.7325376073823,1853.115027990857
22,3,888.4822072932643,1847.356134870091,1845.4441869206835
23,3,900.326766242262,1838.5899679122201,1836.2003879500382
24,3,900.326766242262,1838.3903413865,1836.2003879500382
25,3,1205.8239121838262,2701.986190587007,2704.9117722264173
26,3,1165.1205705255863,1739.3875198298133,1736.907440846562
27,3,1165.1205705255863,1737.4275886145724,1736.907440846562
28,3,1169.8652420732644,1740.5395090569723,1738.8794662808723
29,3,1177.6538359023136,1750.466871129403,1751.2820430129345
30,3,1212.2066559870198,1807.270491160898,1809.7567912496297
31,3,1183.8107385369842,1808.3771948580174,1810.8192054292003
32,3,1201.1236002772716,1809.984261011169,1812.627589912
33,3,1090.5489274741608,1685.7909054036995,1687.1480569971743
34,3,2179.3538124000393,3354.64100118902,3357.062325963208
35,3,2220.6512381727453,3382.1693518090156,3385.69725745428
36,3,822.5935939667459,1382.5652787968336,1381.8630824367551
37,3,1048.546182521813,2021.2326380444383,2020.3196427617388
38,3,1741.6708875734143,3241.8300925450712,3239.3188232073812
39,3,1714.63666451847,3993.0187906210904,3994.6057653351854
40,3,1723.1381608966517,3797.724986348712,3795.5887495168404
41,3,1709.7063989326055,3786.9546655003983,3787.526829386238
42,3,2058.938764693419,3200.520736096259,3200.9152430478002
43,3,1783.5467122480054,5755.205112348019,5756.008317715479
44,3,2250.222295550661,3385.921415551792,3383.070471757492
45,3,995.3026665209226,2186.8748445666342,2186.223416286272
46,3,1780.2762578615193,3542.958706117026,3545.050387898572
47,3,1366.3264151375104,2495.06988045501,2492.8141063540816
48,3,1090.7505711245374,2188.8345242051937,2186.183302437312
49,3,1094.2765991052815,2196.7650985487467,2194.9508204223307
50,3,1783.4605279935759,5737.22447330527,5739.18854541245
51,3,1716.8397936915176,3287.9971937007244,3289.367773176024
52,3,1381.2771144787864,2061.0820374723185,2061.0022002225655
53,3,1381.957976204519,2064.9231152428233,2065.0638284268925
54,3,1395.099902896006,2081.432109084372,2084.7321316915186
55,3,1395.099902896006,2084.3098501849345,2084.7321316915186
56,3,1435.1377422746593,2217.9781731224343,2220.3533004243495
57,3,1433.0618107840342,2218.931689229095,2216.3478417721426
58,3,2062.246741175033,3236.780373011032,3236.134062114619
59,3,1094.3139995356555,1631.6153410321438,1634.2164520799963
60,3,1069.5068680435368,1665.2442076687323,1667.8655861189739
61,3,1119.801488290608,1833.6292236431307,1833.2988921908095
62,3,1608.7631987615073,2985.472182824312,2985.8758904574056
